example_id,open_date,open_time,close_time,side,entry_price,exit_price,net_pnl,setup_valid_normalized,quality_bucket,primary_valid_reason,primary_invalid_reason,entry_timestamp_raw,entry_anchor_timestamp,exit_anchor_timestamp,matched_to_bar_data,bars_in_window
trade-example-0031,2025-02-05,10:21:30 EST,10:23:00 EST,short,21516.75,21548.25,-634.0,yes,valid,,,2025-02-05T10:21:30-05:00,2025-02-05T10:21:30-05:00,2025-02-05T10:23:00-05:00,True,37
trade-example-0032,2025-02-05,10:35:00 EST,11:12:00 EST,long,21579.0,21610.75,631.0,yes,valid,,,2025-02-05T10:35:00-05:00,2025-02-05T10:35:00-05:00,2025-02-05T11:12:00-05:00,True,37
trade-example-0033,2025-02-06,09:51:30 EST,10:24:00 EST,long,21799.25,21826.0,531.0,yes,valid,,,2025-02-06T09:51:30-05:00,2025-02-06T09:51:30-05:00,2025-02-06T10:24:00-05:00,True,37
trade-example-0034,2025-02-10,09:34:30 EST,09:36:00 EST,short,21745.5,21766.25,-419.0,yes,valid,,,2025-02-10T09:34:30-05:00,2025-02-10T09:34:30-05:00,2025-02-10T09:36:00-05:00,True,34
trade-example-0035,2025-02-10,09:42:30 EST,09:52:00 EST,long,21780.75,21758.25,-454.0,yes,valid,,,2025-02-10T09:42:30-05:00,2025-02-10T09:42:30-05:00,2025-02-10T09:52:00-05:00,True,37
trade-example-0036,2025-02-10,09:58:00 EST,10:43:00 EST,long,21789.0,21868.75,1591.0,yes,valid,,,2025-02-10T09:58:00-05:00,2025-02-10T09:58:00-05:00,2025-02-10T10:43:00-05:00,True,37
trade-example-0037,2025-02-11,09:32:30 EST,09:55:30 EST,long,21746.75,21778.5,631.0,yes,valid,,,2025-02-11T09:32:30-05:00,2025-02-11T09:32:30-05:00,2025-02-11T09:55:30-05:00,True,30
trade-example-0038,2025-02-12,09:36:30 EST,10:01:00 EST,long,21584.25,21651.5,1341.0,yes,valid,,,2025-02-12T09:36:30-05:00,2025-02-12T09:36:30-05:00,2025-02-12T10:01:00-05:00,True,37
trade-example-0039,2025-02-13,09:42:00 EST,09:44:00 EST,short,21852.0,21882.5,-614.0,yes,valid,,,2025-02-13T09:42:00-05:00,2025-02-13T09:42:00-05:00,2025-02-13T09:44:00-05:00,True,37
trade-example-0040,2025-02-13,09:55:30 EST,10:05:30 EST,long,21899.25,21932.0,651.0,yes,valid,,,2025-02-13T09:55:30-05:00,2025-02-13T09:55:30-05:00,2025-02-13T10:05:30-05:00,True,37
trade-example-0041,2025-02-13,10:12:00 EST,11:07:30 EST,long,21928.5,22036.75,2161.0,yes,valid,,,2025-02-13T10:12:00-05:00,2025-02-13T10:12:00-05:00,2025-02-13T11:07:30-05:00,True,37
trade-example-0042,2025-02-14,09:35:30 EST,09:48:00 EST,short,22100.75,22122.5,-439.0,yes,valid,,,2025-02-14T09:35:30-05:00,2025-02-14T09:35:30-05:00,2025-02-14T09:48:00-05:00,True,36
trade-example-0043,2025-02-14,09:51:30 EST,10:02:00 EST,long,22132.0,22112.25,-399.0,no,avoid,,,2025-02-14T09:51:30-05:00,2025-02-14T09:51:30-05:00,2025-02-14T10:02:00-05:00,True,37
trade-example-0044,2025-02-14,10:21:30 EST,10:39:00 EST,long,22139.25,22112.5,-539.0,no,avoid,,,2025-02-14T10:21:30-05:00,2025-02-14T10:21:30-05:00,2025-02-14T10:39:00-05:00,True,37
trade-example-0045,2025-02-17,09:34:00 EST,09:45:30 EST,short,22221.5,22209.25,241.0,yes,valid,,,2025-02-17T09:34:00-05:00,2025-02-17T09:34:00-05:00,2025-02-17T09:45:30-05:00,True,33
trade-example-0046,2025-02-18,09:36:30 EST,09:52:30 EST,short,22243.0,22202.5,806.0,yes,valid,,,2025-02-18T09:36:30-05:00,2025-02-18T09:36:30-05:00,2025-02-18T09:52:30-05:00,True,37
trade-example-0047,2025-02-19,09:33:00 EST,09:35:00 EST,short,22183.0,22197.25,-289.0,yes,valid,,,2025-02-19T09:33:00-05:00,2025-02-19T09:33:00-05:00,2025-02-19T09:35:00-05:00,True,31
trade-example-0048,2025-02-19,09:37:30 EST,09:40:00 EST,long,22217.5,22187.75,-599.0,no,avoid,,,2025-02-19T09:37:30-05:00,2025-02-19T09:37:30-05:00,2025-02-19T09:40:00-05:00,True,37
trade-example-0049,2025-02-19,09:42:30 EST,10:13:00 EST,short,22185.75,22135.5,1001.0,yes,valid,,,2025-02-19T09:42:30-05:00,2025-02-19T09:42:30-05:00,2025-02-19T10:13:00-05:00,True,37
trade-example-0050,2025-02-20,09:38:00 EST,09:41:00 EST,short,22186.5,22206.5,-404.0,yes,valid,,,2025-02-20T09:38:00-05:00,2025-02-20T09:38:00-05:00,2025-02-20T09:41:00-05:00,True,37
